ENSMUSG,Transporter
ENSMUSG00000029468,1.A.7.1.9
ENSMUSG00000021072,8.A.88.2.5
ENSMUSG00000020261,2.A.18.8.1
ENSMUSG00000074796,2.A.31.4.1
ENSMUSG00000011118,1.A.25.2.3
ENSMUSG00000004988,1.A.27.1.4
ENSMUSG00000047501,1.H.1.1.6
ENSMUSG00000052726,1.A.1.3.6
ENSMUSG00000024659,1.A.31.1.3
ENSMUSG00000051331,1.A.1.11.4
ENSMUSG00000037996,2.A.19.4.11
ENSMUSG00000004317,2.A.49.2.16
ENSMUSG00000047797,1.A.24.1.2
ENSMUSG00000051596,1.A.110.1.2
ENSMUSG00000019894,2.A.22.6.7
ENSMUSG00000001225,2.A.53.2.18
ENSMUSG00000038178,2.A.1.44.2
ENSMUSG00000000197,1.A.1.11.15
ENSMUSG00000021198,1.A.1.11.15
ENSMUSG00000055567,1.A.1.11.15
ENSMUSG00000014786,2.A.36.1.16
ENSMUSG00000031633,2.A.29.1.2
ENSMUSG00000036565,1.A.48.1.4
ENSMUSG00000029700,2.A.47.1.19
ENSMUSG00000034917,8.A.24.1.13
ENSMUSG00000037242,1.A.12.1.6
ENSMUSG00000023073,2.A.28.1.2
ENSMUSG00000020798,2.A.1.49.12
ENSMUSG00000009214,1.N.2.1.1
ENSMUSG00000079471,1.N.2.1.1
ENSMUSG00000066705,1.A.27.1.3
ENSMUSG00000030500,2.A.1.14.31
ENSMUSG00000022199,2.A.1.19.8
ENSMUSG00000044367,2.A.1.13.17
ENSMUSG00000021490,2.A.58.1.5
ENSMUSG00000047298,1.A.1.2.24
ENSMUSG00000058975,1.A.1.2.24
ENSMUSG00000020524,1.A.10.1.23
ENSMUSG00000017740,2.A.30.1.18
ENSMUSG00000022899,2.A.17.4.8
ENSMUSG00000031876,1.A.64.5.5
ENSMUSG00000110430,1.A.64.5.5
ENSMUSG00000029847,2.A.40.6.7
ENSMUSG00000019969,1.A.54.1.1
ENSMUSG00000018800,3.A.1.211.9
ENSMUSG00000024112,1.A.1.11.5
ENSMUSG00000029862,2.A.49.2.1
ENSMUSG00000043673,1.A.1.2.15
ENSMUSG00000028008,1.A.6.1.11
ENSMUSG00000040883,9.A.55.1.1
ENSMUSG00000019935,2.A.1.14.32
ENSMUSG00000028386,2.A.1.50.2
ENSMUSG00000041052,2.A.3.8.24
ENSMUSG00000023995,9.A.24.1.17
ENSMUSG00000020792,1.F.2.1.2
ENSMUSG00000021357,1.F.2.1.2
ENSMUSG00000029763,1.F.2.1.2
ENSMUSG00000034152,1.F.2.1.2
ENSMUSG00000036435,1.F.2.1.2
ENSMUSG00000053799,1.F.2.1.2
ENSMUSG00000061244,1.F.2.1.2
ENSMUSG00000074030,1.F.2.1.2
ENSMUSG00000056966,1.A.24.1.7
ENSMUSG00000030307,2.A.22.3.9
ENSMUSG00000043964,1.A.52.1.2
ENSMUSG00000014444,1.A.75.1.1
ENSMUSG00000029321,2.A.28.1.3
ENSMUSG00000001672,1.A.64.6.1
ENSMUSG00000042529,1.A.2.1.9
ENSMUSG00000050520,1.H.1.1.7
ENSMUSG00000020142,2.A.23.3.1
ENSMUSG00000030737,2.A.60.1.20
ENSMUSG00000010095,2.A.3.8.5
ENSMUSG00000027737,2.A.3.8.5
ENSMUSG00000006519,5.B.1.1.1
ENSMUSG00000015340,5.B.1.1.1
ENSMUSG00000021629,2.A.4.4.3
ENSMUSG00000024673,1.A.37.1.1
ENSMUSG00000027075,2.A.1.44.1
ENSMUSG00000021983,3.A.3.8.8
ENSMUSG00000000263,1.A.9.3.1
ENSMUSG00000018589,1.A.9.3.1
ENSMUSG00000028020,1.A.9.3.1
ENSMUSG00000038257,1.A.9.3.1
ENSMUSG00000025993,2.A.100.1.4
ENSMUSG00000025986,2.A.5.4.6
ENSMUSG00000060332,1.A.17.4.1
ENSMUSG00000021541,1.A.4.1.2
ENSMUSG00000032902,2.A.1.13.1
ENSMUSG00000027365,1.A.4.5.1
ENSMUSG00000001986,1.A.10.1.4
ENSMUSG00000066150,1.A.56.1.2
ENSMUSG00000030237,2.A.60.1.6
