Transporter,Transporter_Superfamily
1.A.112.2.7,CNNM/HlyC Superfamily
1.A.112.2.8,CNNM/HlyC Superfamily
1.A.112.2.9,CNNM/HlyC Superfamily
1.A.113.1.1,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.1.2,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.1.3,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.1.4,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.1.5,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.2.1,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.2.2,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.2.3,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.1,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.2,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.3,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.4,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.5,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.6,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.7,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.3.8,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.1,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.2,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.3,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.4,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.5,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.113.5.6,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.116.1.1,Viroporin-3
1.A.116.1.2,Viroporin-3
1.A.116.1.3,Viroporin-3
1.A.116.1.4,Viroporin-3
1.A.116.1.5,Viroporin-3
1.A.116.1.6,Viroporin-3
1.A.116.1.7,Viroporin-3
1.A.117.1.1,Viroporin-2
1.A.117.1.2,Viroporin-2
1.A.117.1.3,Viroporin-2
1.A.117.1.4,Viroporin-2
1.A.117.1.5,Viroporin-2
1.A.117.1.6,Viroporin-2
1.A.117.1.7,Viroporin-2
1.A.132.1.1,Azolectin-Cytochrome c Pore-forming (ACCP) Superfamily
1.A.132.1.2,Azolectin-Cytochrome c Pore-forming (ACCP) Superfamily
1.A.132.1.3,Azolectin-Cytochrome c Pore-forming (ACCP) Superfamily
