CPD,Enzyme,Regulation
C00118,1.2.1.90,Substrate
C19946,1.2.1.91,Substrate
C20902,1.2.1.92,Substrate
C03461,1.2.1.94,Substrate
C04076,1.2.1.95,Substrate
C00633,1.2.1.96,Substrate
C21181,1.2.1.97,Substrate
C21291,1.2.1.98,Substrate
C00003,1.2.1.99,Substrate
C06050,1.2.1.100,Substrate
C22021,1.2.1.101,Substrate
C06051,1.2.1.102,Substrate
C00009,1.2.1.103,Substrate
C00022,1.2.1.104,Substrate
C00026,1.2.1.105,Substrate
C20950,1.2.1.106,Substrate
C00118,1.2.1.107,Substrate
C00058,1.2.2.1,Substrate
C00071,1.2.3.1,Substrate
C00022,1.2.3.3,Substrate
C00209,1.2.3.4,Substrate
C00048,1.2.3.5,Substrate
C00022,1.2.3.6,Substrate
C00001,1.2.3.7,Substrate
C00250,1.2.3.8,Substrate
C00193,1.2.3.9,Substrate
C01179,1.2.3.13,Substrate
C13455,1.2.3.14,Substrate
C14448,1.2.3.15,Substrate
C00022,1.2.4.1,Substrate
C00026,1.2.4.2,Substrate
C00141,1.2.4.4,Substrate
C00022,1.2.5.1,Substrate
C00071,1.2.5.2,Substrate
C00237,1.2.5.3,Substrate
C00022,1.2.7.1,Substrate
C00026,1.2.7.3,Substrate
C00237,1.2.7.4,Substrate
C00071,1.2.7.5,Substrate
C00001,1.2.7.6,Substrate
C00141,1.2.7.7,Substrate
C00331,1.2.7.8,Substrate
C00209,1.2.7.10,Substrate
C00161,1.2.7.11,Substrate
C01001,1.2.7.12,Substrate
C00067,1.2.98.1,Substrate
C00071,1.2.99.6,Substrate
C00071,1.2.99.7,Substrate
C00577,1.2.99.8,Substrate
C21766,1.2.99.10,Substrate
C00429,1.3.1.1,Substrate
C00429,1.3.1.2,Substrate
C03091,1.3.1.3,Substrate
C20787,1.3.1.5,Substrate
C00042,1.3.1.6,Substrate
C00552,1.3.1.7,Substrate
C00040,1.3.1.8,Substrate
C00173,1.3.1.9,Substrate
C00173,1.3.1.10,Substrate
C01198,1.3.1.11,Substrate
C00254,1.3.1.12,Substrate
C00254,1.3.1.13,Substrate
C00337,1.3.1.14,Substrate
C00337,1.3.1.15,Substrate
C05669,1.3.1.16,Substrate
C00006,1.3.1.17,Substrate
C01249,1.3.1.18,Substrate
C04091,1.3.1.19,Substrate
C04221,1.3.1.20,Substrate
C00187,1.3.1.21,Substrate
C02940,1.3.1.22,Substrate
C00486,1.3.1.24,Substrate
C06321,1.3.1.25,Substrate
C00517,1.3.1.27,Substrate
C04171,1.3.1.28,Substrate
C04314,1.3.1.29,Substrate
C00246,1.3.1.31,Substrate
C00846,1.3.1.32,Substrate
C02139,1.3.1.33,Substrate
C00658,1.3.1.34,Substrate
C02151,1.3.1.36,Substrate
C00040,1.3.1.37,Substrate
C00040,1.3.1.38,Substrate
C00173,1.3.1.39,Substrate
C03750,1.3.1.40,Substrate
C03476,1.3.1.41,Substrate
C04780,1.3.1.42,Substrate
C00826,1.3.1.43,Substrate
C00040,1.3.1.44,Substrate
