Name,miRNA
Kcnk2,mmu-miR-140-5p
Zfp868,mmu-miR-140-5p
Speer4b,mmu-miR-140-5p
Ddhd1,mmu-miR-140-5p
Slc25a16,mmu-miR-140-5p
Rad50,mmu-miR-140-5p
Gucd1,mmu-miR-140-5p
Rufy2,mmu-miR-140-5p
Notch3,mmu-miR-206-3p
Spry1,mmu-miR-133a-3p
Zfp281,mmu-miR-203-3p
Spry1,mmu-miR-21a-5p
Spry1,mmu-miR-21a-5p
Spry1,mmu-miR-21a-5p
Trp63,mmu-miR-92a-3p
Fgf7,mmu-miR-155-5p
Hspb6,mmu-miR-320-3p
Elovl7,mmu-miR-219a-5p
Enpp6,mmu-miR-219a-5p
Fam177a,mmu-miR-124-3p
Camk2g,mmu-miR-219a-5p
Camk2g,mmu-miR-219a-5p
Irs1,mmu-miR-145a-5p
Nr5a2,mmu-miR-134-5p
Gnao1,mmu-miR-134-5p
Pou5f1,mmu-miR-470-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Inpp5d,mmu-miR-155-5p
Vegfa,mmu-miR-20b-5p
Vegfa,mmu-miR-20b-5p
Igf1r,mmu-miR-1a-3p
Smo,mmu-miR-324-5p
Smo,mmu-miR-326-3p
Smo,mmu-miR-125b-5p
Plod3,mmu-miR-124-3p
Pdgfra,mmu-miR-219a-5p
Sox6,mmu-miR-219a-5p
Sox6,mmu-miR-219a-5p
Foxj3,mmu-miR-219a-5p
Zbtb18,mmu-miR-219a-5p
Hes5,mmu-miR-219a-5p
Olfr75-ps1,mmu-miR-375-3p
Celf1,mmu-miR-23a-3p
Celf1,mmu-miR-23b-3p
Celf2,mmu-miR-23b-3p
Prkce,mmu-miR-143-3p
Prkce,mmu-miR-145a-5p
Il10,mmu-miR-466l-3p
Tab2,mmu-miR-155-5p
Tab2,mmu-miR-155-5p
Vcan,mmu-miR-143-3p
Ccrn4l,mmu-miR-122-5p
Eln,mmu-miR-29b-3p
Eln,mmu-miR-29a-3p
Nos2,mmu-miR-146a-5p
Foxo1,mmu-miR-486a-5p
Hells,mmu-miR-468-3p
Mycn,mmu-let-7c-5p
Lin28a,mmu-let-7c-5p
Ccnd2,mmu-miR-133a-3p
Srf,mmu-miR-133a-3p
Srf,mmu-miR-133a-3p
Il13,mmu-let-7a-5p
Fbxw7,mmu-miR-223-3p
Fbxw7,mmu-miR-25-3p
Fbxw7,mmu-miR-25-3p
Kdm6b,mmu-miR-138-5p
Kdm6b,mmu-miR-148a-3p
Kdm6b,mmu-miR-185-5p
Kdm6b,mmu-miR-339-5p
Mmp9,mmu-miR-204-5p
Aurkb,mmu-miR-204-5p
Hoxb7,mmu-miR-204-5p
Pum2,mmu-miR-134-5p
Limk1,mmu-miR-134-5p
Srsf1,mmu-miR-28a-5p
Srsf1,mmu-miR-505-3p
Hoxd10,mmu-miR-10b-5p
Hoxd10,mmu-miR-10b-5p
Foxo1,mmu-miR-139-5p
Trim71,mmu-let-7a-5p
Trim71,mmu-let-7e-5p
Hdac4,mmu-miR-10a-5p
Ddit4,mmu-miR-221-3p
Bnip3,mmu-miR-221-3p
Timp3,mmu-miR-181b-5p
Mef2c,mmu-miR-27b-3p
Bdnf,mmu-miR-381-3p
Bdnf,mmu-miR-495-3p
Bdnf,mmu-miR-30a-5p
Bdnf,mmu-miR-30a-5p
Bdnf,mmu-miR-30d-5p
Elk1,mmu-miR-143-3p
Klf4,mmu-miR-145a-5p
Klf4,mmu-miR-145a-5p
Camk2d,mmu-miR-145a-5p
Ddx19b,mmu-miR-125b-5p
Tor2a,mmu-miR-125b-5p
Rhebl1,mmu-miR-125b-5p
Dus1l,mmu-miR-125b-5p
Ppt2,mmu-miR-125b-5p
Abtb1,mmu-miR-125b-5p
Apln,mmu-miR-125b-5p
Zfp385a,mmu-miR-125b-5p
Entpd4,mmu-miR-125b-5p
Rabl6,mmu-miR-125b-5p
Arid3b,mmu-miR-125b-5p
Arid3a,mmu-miR-125b-5p
Lin28a,mmu-miR-125b-5p
Lin28a,mmu-miR-125b-5p
Lin28a,mmu-miR-125b-5p
Map2k7,mmu-miR-125b-5p
Ajuba,mmu-miR-125b-5p
Lin28a,mmu-let-7a-5p
Lin28a,mmu-let-7a-5p
Zfp36,mmu-miR-29a-3p
Pou4f2,mmu-miR-23a-3p
