ENSMUSG,mmu,Enzyme
ENSMUSG00000066704,13090,1.14.14.1
ENSMUSG00000024768,67717,3.1.1.3
ENSMUSG00000024516,66286,3.4.21.89
ENSMUSG00000024776,76630,3.4.19.12
ENSMUSG00000029217,21682,2.7.10.2
ENSMUSG00000035891,223753,2.7.1.138
ENSMUSG00000001173,320634,3.1.3.36
ENSMUSG00000051236,320183,1.8.4.12
ENSMUSG00000020949,30795,5.2.1.8
ENSMUSG00000018796,14081,6.2.1.3
ENSMUSG00000028003,79235,2.3.1.135
ENSMUSG00000013236,19280,3.1.3.48
ENSMUSG00000022244,17117,5.1.99.4
ENSMUSG00000050370,12642,1.14.99.38
ENSMUSG00000034751,328329,2.7.11.1
ENSMUSG00000024781,16889,3.1.1.13
ENSMUSG00000031387,19703,5.1.3.8
ENSMUSG00000005547,13087,1.14.14.1
ENSMUSG00000000811,232223,1.8.1.9
ENSMUSG00000054117,70073,2.3.1.225
ENSMUSG00000052544,20447,2.4.3.7
ENSMUSG00000033610,75735,2.7.1.33
ENSMUSG00000022241,110960,6.1.1.3
ENSMUSG00000052353,80982,3.2.1.35
ENSMUSG00000031449,11945,7.2.2.19
ENSMUSG00000031450,24013,2.7.11.14
ENSMUSG00000062312,13866,2.7.10.1
ENSMUSG00000034707,75612,3.1.6.14
ENSMUSG00000060407,13085,1.14.14.1
ENSMUSG00000042501,329093,3.4.17.1
ENSMUSG00000033458,330554,3.1.4.1
ENSMUSG00000035845,223774,2.4.1.260
ENSMUSG00000063089,16624,3.4.21.35
ENSMUSG00000038459,70178,3.1.2.22
ENSMUSG00000024769,240505,2.7.11.1
ENSMUSG00000020115,56480,2.7.11.10
ENSMUSG00000037005,170745,3.4.11.9
ENSMUSG00000063133,16623,3.4.21.35
ENSMUSG00000023272,76737,5.3.4.1
ENSMUSG00000035828,223775,2.7.11.1
ENSMUSG00000059042,13648,3.4.21.35
ENSMUSG00000033429,73724,5.1.99.1
ENSMUSG00000044526,20834,2.3.2.27
ENSMUSG00000044485,16613,3.4.21.35
ENSMUSG00000052752,224619,2.3.2.27
ENSMUSG00000053719,16618,3.4.21.35
ENSMUSG00000063177,16619,3.4.21.35
ENSMUSG00000027470,228785,2.7.11.18
ENSMUSG00000032262,83603,2.3.1.199
ENSMUSG00000066516,16616,3.4.21.35
ENSMUSG00000060177,13646,3.4.21.35
ENSMUSG00000020464,71701,2.7.7.8
ENSMUSG00000032279,67834,1.1.1.41
ENSMUSG00000021577,66945,1.3.5.1
ENSMUSG00000026473,14645,6.3.1.2
ENSMUSG00000021385,75678,2.7.1.158
ENSMUSG00000053965,242202,3.1.4.35
ENSMUSG00000038968,16615,3.4.21.54
ENSMUSG00000063713,16617,3.4.21.35
ENSMUSG00000066515,18050,3.4.21.35
ENSMUSG00000042662,252864,3.1.3.16
ENSMUSG00000042662,252864,3.1.3.48
ENSMUSG00000038379,22137,2.7.12.1
ENSMUSG00000024800,54364,3.1.26.5
