ENSMUSP,FC
ENSMUSP00000125454,UP
ENSMUSP00000125456,UP
ENSMUSP00000125492,UP
ENSMUSP00000125548,UP
ENSMUSP00000125553,UP
ENSMUSP00000126068,UP
ENSMUSP00000126329,UP
ENSMUSP00000126448,UP
ENSMUSP00000126464,UP
ENSMUSP00000126621,UP
ENSMUSP00000127176,UP
ENSMUSP00000127250,UP
ENSMUSP00000127642,UP
ENSMUSP00000127808,UP
ENSMUSP00000128209,UP
ENSMUSP00000128696,UP
ENSMUSP00000128770,UP
ENSMUSP00000129100,UP
ENSMUSP00000129186,UP
ENSMUSP00000129603,UP
ENSMUSP00000129876,UP
ENSMUSP00000130214,UP
ENSMUSP00000130712,UP
ENSMUSP00000130858,UP
ENSMUSP00000130992,UP
ENSMUSP00000131514,UP
ENSMUSP00000131788,UP
ENSMUSP00000132469,UP
ENSMUSP00000132619,UP
ENSMUSP00000132662,UP
ENSMUSP00000132780,UP
ENSMUSP00000132802,UP
ENSMUSP00000132922,UP
ENSMUSP00000132954,UP
ENSMUSP00000133017,UP
ENSMUSP00000133061,UP
ENSMUSP00000133074,UP
ENSMUSP00000133194,UP
ENSMUSP00000133334,UP
ENSMUSP00000133571,UP
ENSMUSP00000133736,UP
ENSMUSP00000133883,UP
ENSMUSP00000133931,UP
ENSMUSP00000134035,UP
ENSMUSP00000134322,UP
ENSMUSP00000135063,UP
ENSMUSP00000135384,UP
ENSMUSP00000135636,UP
ENSMUSP00000135846,UP
ENSMUSP00000135956,UP
ENSMUSP00000136035,UP
ENSMUSP00000136717,UP
ENSMUSP00000137226,UP
ENSMUSP00000137977,UP
ENSMUSP00000138186,UP
ENSMUSP00000138403,UP
ENSMUSP00000138651,UP
ENSMUSP00000138705,UP
ENSMUSP00000139355,UP
ENSMUSP00000139702,UP
ENSMUSP00000139716,UP
ENSMUSP00000139918,UP
ENSMUSP00000140161,UP
ENSMUSP00000140887,UP
ENSMUSP00000141131,UP
ENSMUSP00000141274,UP
ENSMUSP00000141554,UP
ENSMUSP00000142042,UP
ENSMUSP00000142105,UP
ENSMUSP00000142770,UP
ENSMUSP00000143061,UP
ENSMUSP00000143631,UP
ENSMUSP00000143680,UP
ENSMUSP00000143720,UP
ENSMUSP00000143772,UP
ENSMUSP00000144036,UP
ENSMUSP00000144124,UP
ENSMUSP00000144192,UP
ENSMUSP00000144202,UP
ENSMUSP00000144226,UP
ENSMUSP00000144827,UP
ENSMUSP00000144935,UP
ENSMUSP00000145157,UP
ENSMUSP00000145236,UP
ENSMUSP00000145412,UP
ENSMUSP00000145413,UP
ENSMUSP00000145472,UP
ENSMUSP00000145585,UP
ENSMUSP00000147085,UP
ENSMUSP00000147514,UP
ENSMUSP00000147968,UP
ENSMUSP00000147978,UP
ENSMUSP00000148069,UP
ENSMUSP00000148390,UP
ENSMUSP00000148548,UP
ENSMUSP00000148762,UP
ENSMUSP00000149819,UP
ENSMUSP00000150224,UP
ENSMUSP00000150589,UP
ENSMUSP00000150693,UP
ENSMUSP00000150948,UP
ENSMUSP00000150956,UP
ENSMUSP00000151263,UP
ENSMUSP00000151345,UP
ENSMUSP00000151507,UP
ENSMUSP00000151693,UP
ENSMUSP00000152046,UP
ENSMUSP00000152068,UP
ENSMUSP00000152229,UP
ENSMUSP00000152294,UP
ENSMUSP00000152454,UP
ENSMUSP00000152609,UP
ENSMUSP00000152740,UP
ENSMUSP00000152764,UP
ENSMUSP00000152802,UP
ENSMUSP00000153064,UP
ENSMUSP00000153410,UP
ENSMUSP00000153443,UP
ENSMUSP00000153445,UP
ENSMUSP00000153458,UP
ENSMUSP00000153479,UP
ENSMUSP00000153488,UP
ENSMUSP00000153669,UP
ENSMUSP00000153969,UP
ENSMUSP00000154023,UP
ENSMUSP00000154939,UP
ENSMUSP00000155213,UP
ENSMUSP00000155371,UP
ENSMUSP00000155390,UP
ENSMUSP00000155686,UP
ENSMUSP00000156002,UP
ENSMUSP00000156121,UP
ENSMUSP00000156154,UP
ENSMUSP00000156883,UP
ENSMUSP00000156922,UP
ENSMUSP00000157011,UP
ENSMUSP00000157455,UP
ENSMUSP00000157494,UP
ENSMUSP00000157807,UP
ENSMUSP00000157972,UP
ENSMUSP00000157998,UP
ENSMUSP00000158068,UP
ENSMUSP00000158287,UP
ENSMUSP00000158299,UP
ENSMUSP00000158375,UP
ENSMUSP00000158429,UP
ENSMUSP00000158539,UP
ENSMUSP00000158541,UP
ENSMUSP00000158562,UP
ENSMUSP00000158677,UP
ENSMUSP00000000137,Down
ENSMUSP00000000287,Down
ENSMUSP00000000349,Down
ENSMUSP00000000727,Down
ENSMUSP00000000756,Down
ENSMUSP00000001042,Down
ENSMUSP00000001147,Down
ENSMUSP00000001181,Down
ENSMUSP00000001416,Down
ENSMUSP00000001460,Down
ENSMUSP00000001520,Down
ENSMUSP00000001720,Down
ENSMUSP00000001809,Down
ENSMUSP00000001834,Down
ENSMUSP00000002043,Down
ENSMUSP00000002198,Down
ENSMUSP00000002599,Down
ENSMUSP00000002663,Down
ENSMUSP00000002735,Down
ENSMUSP00000003029,Down
ENSMUSP00000003310,Down
ENSMUSP00000003521,Down
ENSMUSP00000003912,Down
ENSMUSP00000004057,Down
ENSMUSP00000004375,Down
ENSMUSP00000004729,Down
ENSMUSP00000004774,Down
ENSMUSP00000005017,Down
ENSMUSP00000005234,Down
ENSMUSP00000005431,Down
ENSMUSP00000005651,Down
ENSMUSP00000005705,Down
ENSMUSP00000006137,Down
ENSMUSP00000006235,Down
ENSMUSP00000006435,Down
ENSMUSP00000006544,Down
ENSMUSP00000006611,Down
ENSMUSP00000006749,Down
ENSMUSP00000006764,Down
ENSMUSP00000007012,Down
ENSMUSP00000008477,Down
ENSMUSP00000008991,Down
ENSMUSP00000009036,Down
ENSMUSP00000010007,Down
ENSMUSP00000013304,Down
ENSMUSP00000013458,Down
ENSMUSP00000014578,Down
ENSMUSP00000014686,Down
ENSMUSP00000015236,Down
ENSMUSP00000015391,Down
ENSMUSP00000015800,Down
ENSMUSP00000015829,Down
ENSMUSP00000015877,Down
ENSMUSP00000016033,Down
ENSMUSP00000016034,Down
ENSMUSP00000016072,Down
ENSMUSP00000016081,Down
ENSMUSP00000016400,Down
ENSMUSP00000018653,Down
ENSMUSP00000018718,Down
ENSMUSP00000018803,Down
ENSMUSP00000019354,Down
ENSMUSP00000019512,Down
ENSMUSP00000019937,Down
ENSMUSP00000019939,Down
ENSMUSP00000020057,Down
ENSMUSP00000020161,Down
ENSMUSP00000020238,Down
ENSMUSP00000020241,Down
ENSMUSP00000020262,Down
ENSMUSP00000020329,Down
ENSMUSP00000020339,Down
ENSMUSP00000020343,Down
ENSMUSP00000020397,Down
ENSMUSP00000020440,Down
ENSMUSP00000020640,Down
ENSMUSP00000020756,Down
ENSMUSP00000021001,Down
ENSMUSP00000021062,Down
ENSMUSP00000021077,Down
ENSMUSP00000021078,Down
ENSMUSP00000021381,Down
ENSMUSP00000021425,Down
ENSMUSP00000021428,Down
ENSMUSP00000021630,Down
ENSMUSP00000021632,Down
ENSMUSP00000021634,Down
ENSMUSP00000021790,Down
ENSMUSP00000021807,Down
ENSMUSP00000021864,Down
ENSMUSP00000021913,Down
ENSMUSP00000021940,Down
ENSMUSP00000022322,Down
ENSMUSP00000022341,Down
ENSMUSP00000022496,Down
ENSMUSP00000022629,Down
ENSMUSP00000022734,Down
ENSMUSP00000022865,Down
ENSMUSP00000022925,Down
ENSMUSP00000023056,Down
ENSMUSP00000023087,Down
ENSMUSP00000023088,Down
ENSMUSP00000023189,Down
ENSMUSP00000023269,Down
ENSMUSP00000023453,Down
ENSMUSP00000023550,Down
ENSMUSP00000023572,Down
ENSMUSP00000023599,Down
ENSMUSP00000023677,Down
ENSMUSP00000023805,Down
ENSMUSP00000023806,Down
ENSMUSP00000023832,Down
ENSMUSP00000023994,Down
ENSMUSP00000024727,Down
ENSMUSP00000024739,Down
ENSMUSP00000024860,Down
ENSMUSP00000024974,Down
ENSMUSP00000025217,Down
ENSMUSP00000025486,Down
ENSMUSP00000025598,Down
ENSMUSP00000025642,Down
ENSMUSP00000025696,Down
ENSMUSP00000025774,Down
ENSMUSP00000025904,Down
ENSMUSP00000025918,Down
ENSMUSP00000026050,Down
ENSMUSP00000026125,Down
ENSMUSP00000026196,Down
ENSMUSP00000026420,Down
ENSMUSP00000026459,Down
ENSMUSP00000026552,Down
ENSMUSP00000026667,Down
ENSMUSP00000027114,Down
ENSMUSP00000027123,Down
ENSMUSP00000027127,Down
ENSMUSP00000027144,Down
ENSMUSP00000027153,Down
ENSMUSP00000027271,Down
ENSMUSP00000027356,Down
ENSMUSP00000027438,Down
ENSMUSP00000027491,Down
ENSMUSP00000027675,Down
ENSMUSP00000027777,Down
ENSMUSP00000027810,Down
ENSMUSP00000027817,Down
ENSMUSP00000027853,Down
ENSMUSP00000027863,Down
ENSMUSP00000027975,Down
ENSMUSP00000028045,Down
ENSMUSP00000028162,Down
ENSMUSP00000028238,Down
ENSMUSP00000028250,Down
ENSMUSP00000028356,Down
ENSMUSP00000028553,Down
ENSMUSP00000028583,Down
ENSMUSP00000028617,Down
ENSMUSP00000028683,Down
ENSMUSP00000028807,Down
ENSMUSP00000028892,Down
ENSMUSP00000028981,Down
ENSMUSP00000029017,Down
ENSMUSP00000029076,Down
ENSMUSP00000029078,Down
ENSMUSP00000029147,Down
ENSMUSP00000029171,Down
ENSMUSP00000029325,Down
ENSMUSP00000029405,Down
ENSMUSP00000029645,Down
ENSMUSP00000029708,Down
ENSMUSP00000029722,Down
ENSMUSP00000029773,Down
ENSMUSP00000029925,Down
ENSMUSP00000030028,Down
ENSMUSP00000030103,Down
ENSMUSP00000030169,Down
ENSMUSP00000030192,Down
ENSMUSP00000030348,Down
ENSMUSP00000030412,Down
ENSMUSP00000030487,Down
ENSMUSP00000030538,Down
ENSMUSP00000030613,Down
ENSMUSP00000030623,Down
ENSMUSP00000030734,Down
ENSMUSP00000030742,Down
ENSMUSP00000031181,Down
ENSMUSP00000031183,Down
ENSMUSP00000031186,Down
ENSMUSP00000031195,Down
ENSMUSP00000031320,Down
ENSMUSP00000031377,Down
ENSMUSP00000031398,Down
ENSMUSP00000031617,Down
ENSMUSP00000031625,Down
ENSMUSP00000031741,Down
ENSMUSP000000317790,Down
ENSMUSP00000031788,Down
ENSMUSP00000032143,Down
ENSMUSP00000032228,Down
ENSMUSP00000032399,Down
ENSMUSP00000032508,Down
ENSMUSP00000032865,Down
ENSMUSP00000032992,Down
ENSMUSP00000032998,Down
ENSMUSP00000033158,Down
ENSMUSP00000033236,Down
ENSMUSP00000033509,Down
ENSMUSP00000033597,Down
ENSMUSP00000033673,Down
ENSMUSP00000033683,Down
ENSMUSP00000033776,Down
ENSMUSP00000033934,Down
ENSMUSP00000034000,Down
ENSMUSP00000034026,Down
ENSMUSP00000034097,Down
ENSMUSP00000034131,Down
ENSMUSP00000034138,Down
ENSMUSP00000034189,Down
ENSMUSP00000034304,Down
ENSMUSP00000034346,Down
ENSMUSP00000034541,Down
ENSMUSP00000034552,Down
ENSMUSP00000034856,Down
ENSMUSP00000034860,Down
ENSMUSP00000034866,Down
ENSMUSP00000034915,Down
ENSMUSP00000034929,Down
ENSMUSP00000034946,Down
ENSMUSP00000034947,Down
ENSMUSP00000034966,Down
ENSMUSP00000034983,Down
ENSMUSP00000035163,Down
ENSMUSP00000035458,Down
ENSMUSP00000036140,Down
ENSMUSP00000036337,Down
ENSMUSP00000036881,Down
ENSMUSP00000036907,Down
ENSMUSP00000037348,Down
ENSMUSP00000037597,Down
ENSMUSP00000037613,Down
ENSMUSP00000037665,Down
ENSMUSP00000038135,Down
ENSMUSP00000038232,Down
ENSMUSP00000038352,Down
ENSMUSP00000038559,Down
ENSMUSP00000039243,Down
ENSMUSP00000039252,Down
ENSMUSP00000039269,Down
ENSMUSP00000039472,Down
ENSMUSP00000039493,Down
ENSMUSP00000039583,Down
ENSMUSP00000040198,Down
ENSMUSP00000041234,Down
ENSMUSP00000041453,Down
ENSMUSP00000041675,Down
ENSMUSP00000041814,Down
ENSMUSP00000042095,Down
ENSMUSP00000042183,Down
ENSMUSP00000042342,Down
ENSMUSP00000042457,Down
ENSMUSP00000042691,Down
ENSMUSP00000043041,Down
ENSMUSP00000043308,Down
ENSMUSP00000044050,Down
ENSMUSP00000044395,Down
ENSMUSP00000044587,Down
